"","year","state","coc_number","coc_name","total_homeless","sheltered_homeless","unsheltered_homeless","homeless_individuals","sheltered_homeless_individuals","unsheltered_homeless_individuals","homeless_people_in_families","sheltered_homeless_people_in_families","unsheltered_homeless_people_in_families","chronically_homeless","sheltered_chronically_homeless","unsheltered_chronically_homeless","chronically_homeless_individuals","sheltered_chronically_homeless_individuals","unsheltered_chronically_homeless_individuals","chronically_homeless_people_in_families","sheltered_chronically_homeless_people_in_families","unsheltered_chronically_homeless_people_in_families","homeless_veterans","sheltered_homeless_veterans","unsheltered_homeless_veterans","homeless_unaccompanied_youth_under_25","sheltered_homeless_unaccompanied_youth_under_25","unsheltered_homeless_unaccompanied_youth_under_25","homeless_unaccompanied_children_under_18","sheltered_homeless_unaccompanied_children_under_18","unsheltered_homeless_unaccompanied_children_under_18","homeless_unaccompanied_young_adults_age_18_24","sheltered_homeless_unaccompanied_young_adults_age_18_24","unsheltered_homeless_unaccompanied_young_adults_age_18_24","parenting_youth_under_25","sheltered_parenting_youth_under_25","unsheltered_parenting_youth_under_25","parenting_youth_under_18","sheltered_parenting_youth_under_18","unsheltered_parenting_youth_under_18","parenting_youth_age_18_24","sheltered_parenting_youth_age_18_24","unsheltered_parenting_youth_age_18_24","children_of_parenting_youth","sheltered_children_of_parenting_youth","unsheltered_children_of_parenting_youth"
"1",2015,"AK","AK-500","Anchorage",1208,1029,179,837,679,158,371,350,21,127,27,100,106,27,79,21,0,21,130,108,22,106,83,23,12,9,3,94,74,20,15,15,0,0,0,0,15,15,0,16,16,0
"2",2015,"AK","AK-501","Alaska Balance of State",748,610,138,505,405,100,243,205,38,95,54,41,76,43,33,19,11,8,50,41,9,49,40,9,12,9,3,37,31,6,3,3,0,0,0,0,3,3,0,5,5,0
"3",2015,"AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties",1153,916,237,886,661,225,267,255,12,241,35,206,239,35,204,2,0,2,144,133,11,77,56,21,9,9,0,68,47,21,10,10,0,4,4,0,6,6,0,13,13,0
"4",2015,"AL","AL-501","Mobile City & County/Baldwin County",578,364,214,470,277,193,108,87,21,107,25,82,92,23,69,15,2,13,94,66,28,29,20,9,1,1,0,28,19,9,3,3,0,0,0,0,3,3,0,6,6,0
"5",2015,"AL","AL-502","Florence/Northwest Alabama",245,214,31,158,133,25,87,81,6,28,14,14,18,7,11,10,7,3,16,11,5,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,"AL","AL-503","Huntsville/North Alabama",420,357,63,300,241,59,120,116,4,119,83,36,117,81,36,2,2,0,39,33,6,20,15,5,3,3,0,17,12,5,1,1,0,1,1,0,0,0,0,1,1,0
"7",2015,"AL","AL-504","Montgomery City & County",441,373,68,333,280,53,108,93,15,24,2,22,24,2,22,0,0,0,40,35,5,22,21,1,2,2,0,20,19,1,4,3,1,0,0,0,4,3,1,7,4,3
"8",2015,"AL","AL-505","Gadsden/Northeast Alabama",156,103,53,140,87,53,16,16,0,2,2,0,2,2,0,0,0,0,11,9,2,36,20,16,14,9,5,22,11,11,1,1,0,0,0,0,1,1,0,1,1,0
"9",2015,"AL","AL-506","Tuscaloosa City & County",339,144,195,188,126,62,151,18,133,50,0,50,40,0,40,10,0,10,81,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2015,"AL","AL-507","Alabama Balance of State",638,472,166,393,271,122,245,201,44,36,7,29,25,7,18,11,0,11,49,35,14,39,31,8,3,3,0,36,28,8,6,3,3,0,0,0,6,3,3,7,4,3
"11",2015,"AR","AR-500","Little Rock/Central Arkansas",830,491,339,764,430,334,66,61,5,220,78,142,215,75,140,5,3,2,190,153,37,41,30,11,0,0,0,41,30,11,0,0,0,0,0,0,0,0,0,0,0,0
"12",2015,"AR","AR-501","Fayetteville/Northwest Arkansas",665,604,61,330,273,57,335,331,4,202,172,30,118,92,26,84,80,4,197,186,11,38,27,11,0,0,0,38,27,11,22,22,0,0,0,0,22,22,0,20,20,0
"13",2015,"AR","AR-503","Arkansas  Balance of State ",728,363,365,486,239,247,242,124,118,99,32,67,91,30,61,8,2,6,22,14,8,81,20,61,0,0,0,81,20,61,0,0,0,0,0,0,0,0,0,0,0,0
"14",2015,"AR","AR-504","Delta Hills",40,40,0,33,33,0,7,7,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2015,"AR","AR-505","Southeast Arkansas",72,71,1,51,50,1,21,21,0,2,2,0,2,2,0,0,0,0,2,2,0,6,5,1,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
