name,iso_3166_2,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
Alabama,AL,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4785161,4801108,4816089,4830533,4846411,4858979
Alaska,AK,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,714021,722720,731228,737442,737046,738432
Arizona,AZ,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6408208,6468732,6553262,6630799,6728783,6828065
Arkansas,AR,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2922394,2938538,2949499,2957957,2966835,2978204
California,CA,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,37334079,37700034,38056055,38414128,38792291,39144818
Colorado,CO,4302086,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,5048254,5119480,5191731,5271132,5355588,5456574
Connecticut,CT,3405650,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3579717,3589759,3593541,3597168,3594762,3590886
Delaware,DE,783559,786373,795699,806169,818003,830803,845150,859268,871749,883874,899791,907916,917099,925353,935968,945934
District of Columbia,DC,572086,572046,574504,573158,568502,567754,567136,570681,574404,580236,605126,620472,635342,649540,659836,672228
Florida,FL,15982571,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18849890,19105533,19352021,19594467,19905569,20271272
Georgia,GA,8186653,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9713454,9812280,9917639,9991562,10097132,10214860
Hawaii,HI,1211497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1363980,1378227,1392641,1408765,1420257,1431603
Idaho,ID,1293957,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1570986,1584134,1596097,1612785,1634806,1654930
Illinois,IL,12419927,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12841249,12861882,12875167,12889580,12882189,12859995
Indiana,IN,6080827,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6490590,6516845,6538283,6570518,6597880,6619680
Iowa,IA,2926538,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3050694,3065389,3076636,3092224,3109481,3123899
Kansas,KS,2688925,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2858824,2869917,2886281,2894630,2902507,2911641
Kentucky,KY,4042193,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4347937,4367882,4382667,4398500,4412617,4425092
Louisiana,LA,4469035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4544951,4575381,4603676,4627491,4648990,4670724
Maine,ME,1274779,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1327695,1328257,1328888,1328778,1330256,1329328
Maryland,MD,5296647,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5788409,5844171,5890740,5936040,5975346,6006401
Massachusetts,MA,6349364,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6565036,6611797,6657780,6708810,6755124,6794422
Michigan,MI,9938823,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9877369,9876589,9886879,9900506,9916306,9922576
Minnesota,MN,4919631,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5310903,5348119,5380443,5420541,5457125,5489594
Mississippi,MS,2844754,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2970316,2977999,2985660,2990976,2993443,2992333
Missouri,MO,5596564,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5996052,6010587,6025468,6043708,6063827,6083672
Montana,MT,902200,903773,906961,911667,919630,930009,940102,952692,964706,976415,990643,997746,1005157,1014402,1023252,1032949
Nebraska,NE,1711230,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1830025,1842383,1855973,1869300,1882980,1896190
Nevada,NV,1998250,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2703440,2718819,2754874,2790366,2838281,2890845
New Hampshire,NH,1235807,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316708,1318344,1321393,1322660,1327996,1330608
New Jersey,NJ,8414764,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8803881,8842934,8874893,8907384,8938844,8958013
New Mexico,NM,1819017,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2064741,2078226,2084792,2086890,2085567,2085109
New York,NY,18977026,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19402920,19523202,19606981,19691032,19748858,19795791
North Carolina,NC,8046346,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9558979,9651025,9747021,9845432,9940387,10042802
North Dakota,ND,642237,642023,639062,638168,638817,644705,646089,649422,652822,657569,674530,685326,702265,723626,740040,756927
